Date,Open,High,Low,Close,Volume,Adj Close
2014-10-06,25.60,25.63,24.21,24.27,36222700,24.27
2014-09-29,25.36,25.70,25.01,25.40,32607400,25.40
2014-09-22,26.19,26.27,25.43,25.63,27641500,25.63
2014-09-15,25.83,26.40,25.75,26.29,28448000,26.29
2014-09-08,26.14,26.27,25.80,25.87,21675200,25.65
2014-09-02,25.89,26.13,25.77,26.10,23068500,25.88
